shape,batch,seq,path,kpad,minblk,correct,baseline_hot_us,fused_hot_us,ratio_hot
1x128,1,128,naive,8,-,True,88.17600086331367,17.184000462293625,0.19488296468481783
1x128,1,128,naive,8,1,True,92.3520028591156,17.376000061631203,0.18814968299213344
1x128,1,128,naive,8,2,True,87.95199915766716,17.008000053465366,0.19337820875425438
1x128,1,128,naive,16,-,True,92.06400066614151,18.5759998857975,0.2017726771744476
1x128,1,128,naive,16,1,True,101.31199657917023,20.239999517798424,0.1997789028072493
1x128,1,128,naive,16,2,True,94.30400282144547,18.256000243127346,0.1935866951235689
1x128,1,128,naive,24,-,True,87.08800002932549,17.424000427126884,0.20007349372197814
1x128,1,128,naive,24,1,True,102.06399857997894,19.856000319123268,0.19454460530040665
1x128,1,128,naive,24,2,True,86.70399710536003,17.59999990463257,0.20298948713109027
8x512,8,512,naive,8,-,True,97.61599823832512,19.43999994546175,0.19914768374339475
8x512,8,512,naive,8,1,True,87.93599903583527,17.791999503970146,0.20232896309871495
8x512,8,512,naive,8,2,True,87.93599903583527,17.75999926030636,0.2019650593048802
8x512,8,512,naive,16,-,True,88.68799731135368,18.672000616788864,0.21053582426985876
8x512,8,512,naive,16,1,True,86.7999978363514,17.20000058412552,0.19815669369662411
8x512,8,512,naive,16,2,True,89.9679996073246,17.40800030529499,0.1934910232668744
8x512,8,512,naive,24,-,True,98.43199700117111,19.648000597953796,0.19960989512099436
8x512,8,512,naive,24,1,True,86.7999978363514,17.823999747633934,0.2053456243309874
8x512,8,512,naive,24,2,True,98.33599999547005,20.336000248789787,0.20680117403317794
64x1024,64,1024,radix,8,-,True,90.43200314044952,39.103999733924866,0.4324132870660028
64x1024,64,1024,radix,8,1,True,86.7839977145195,38.656000047922134,0.44542774089623144
64x1024,64,1024,radix,8,2,True,91.2800021469593,39.40799832344055,0.4317265271312584
64x1024,64,1024,radix,16,-,True,87.0399996638298,46.81599885225296,0.5378676359497706
64x1024,64,1024,radix,16,1,True,89.10400047898293,46.1760014295578,0.5182259065960725
64x1024,64,1024,radix,16,2,True,96.46399691700935,47.69599996507168,0.4944435384126356
64x1024,64,1024,radix,24,-,True,86.92799881100655,39.423998445272446,0.45352474443804525
64x1024,64,1024,radix,24,1,True,86.54400333762169,38.36800158023834,0.44333518326577487
64x1024,64,1024,radix,24,2,True,87.91999891400337,38.864001631736755,0.44203824057994534
256x1024,256,1024,radix,8,-,True,96.55999764800072,56.28800019621849,0.5829329076975588
256x1024,256,1024,radix,8,1,True,98.09600189328194,63.439998775720596,0.6467133986228776
256x1024,256,1024,radix,8,2,True,97.95200079679489,55.64799904823303,0.5681149807616171
256x1024,256,1024,radix,16,-,True,97.74399921298027,71.84000313282013,0.7349812132843432
256x1024,256,1024,radix,16,1,True,97.3920002579689,78.62400263547897,0.8072942585348094
256x1024,256,1024,radix,16,2,True,98.49599748849869,71.6640017926693,0.727582882756606
256x1024,256,1024,radix,24,-,True,99.13600236177444,56.01599998772144,0.5650419489713102
256x1024,256,1024,radix,24,1,True,106.63999989628792,64.7360011935234,0.6070517747231996
256x1024,256,1024,radix,24,2,True,96.78399935364723,55.7279996573925,0.575797652809978
