### bf16 check @ Mon Aug  3 01:08:47 PM CST 2026
/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py:63: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
=== building (bf16_store) ===
Could not import transformers.models.llama.modeling_llama; LlamaFlashAttention2 compat patch not applied.

=== correctness [bf16_store] ===
[OK ] extend N=   256 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N=   256 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N=  1024 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N=  1024 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N=  2048 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N=  2048 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N=  4096 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N=  4096 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N=  8192 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N=  8192 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N= 16384 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] extend N= 16384 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=   256 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=   256 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=  1024 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=  1024 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=  2048 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=  2048 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=  4096 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=  4096 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=  8192 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N=  8192 perm=1 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N= 16384 perm=0 parity_diff=0 dirty=0 nan/inf=0
[OK ] decode N= 16384 perm=1 parity_diff=0 dirty=0 nan/inf=0
ALL CORRECT
