MODE,N,base_us,cand_us,ratio,speedup,K
decode,32,4.740,4.740,1.0000,1.000,1
decode,64,4.930,4.830,0.9797,1.021,1
decode,128,4.830,4.900,1.0145,0.986,1
decode,256,4.830,5.020,1.0393,0.962,1
decode,512,4.900,5.020,1.0245,0.976,1
decode,1024,4.900,5.180,1.0571,0.946,1
decode,2048,5.020,5.310,1.0578,0.945,1
decode,4096,5.280,5.150,0.9754,1.025,1
decode,8192,5.860,5.790,0.9881,1.012,1
decode,16384,7.970,7.230,0.9072,1.102,2
extend,32,4.740,4.830,1.0190,0.981,1
extend,64,4.900,4.830,0.9857,1.014,1
extend,128,4.800,4.990,1.0396,0.962,1
extend,256,4.830,4.860,1.0062,0.994,1
extend,512,4.830,4.930,1.0207,0.980,1
extend,1024,4.860,5.150,1.0597,0.944,1
extend,2048,5.060,5.120,1.0119,0.988,1
extend,4096,5.120,5.120,1.0000,1.000,1
extend,8192,5.860,5.980,1.0205,0.980,1
extend,16384,7.650,7.070,0.9242,1.082,2
